,0
112,0.09116732329130173
113,0.20013028383255005
114,0.3659913241863251
115,0.3805799186229706
116,0.510320246219635
117,0.5206773281097412
118,0.34891456365585327
119,0.036563754081726074
120,0.14667101204395294
121,0.2508530020713806
122,0.45386624336242676
123,0.5506204962730408
124,0.5125548243522644
125,0.23047097027301788
126,0.09087084978818893
127,0.0013038237811997533
128,0.029344365000724792
129,0.17264947295188904
130,0.6333346962928772
131,0.8032515645027161
132,0.9390511512756348
133,0.5735445618629456
134,0.3289433419704437
135,0.08309409767389297
136,0.03498626500368118
137,0.03711231052875519
138,0.25303322076797485
139,0.5367045402526855
140,0.40832996368408203
141,0.3952249586582184
142,0.41768237948417664
143,0.021220820024609566
144,0.043905071914196014
145,0.4620741903781891
146,0.8197486996650696
147,0.6523808240890503
148,0.3797782063484192
149,0.29937851428985596
150,0.06671863794326782
151,0.001632370869629085
152,0.07567018270492554
153,0.2975594103336334
154,0.5144871473312378
155,0.6208353042602539
156,0.10711875557899475
157,0.0021653822623193264
158,0.0
159,0.0
160,0.06425228714942932
161,0.19853155314922333
162,0.5095056295394897
163,0.19428569078445435
164,0.0028420642483979464
165,0.0
166,0.0
167,0.0
168,0.027516430243849754
169,0.19596369564533234
170,0.08599352836608887
171,0.0039247553795576096
172,0.0
173,0.0
174,0.0
175,0.0
176,0.012861883267760277
177,0.035485319793224335
178,0.0036350577138364315
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.017196550965309143
185,0.0073486389592289925
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.05153283104300499
193,0.5640934109687805
194,0.7647485733032227
195,0.973982036113739
196,0.9863688945770264
197,0.899370014667511
198,0.686440110206604
199,0.3423531651496887
200,0.16844646632671356
201,0.682282567024231
202,0.7356047034263611
203,0.9226258993148804
204,0.9445627331733704
205,0.9696771502494812
206,0.8497612476348877
207,0.02486134134232998
208,0.13678805530071259
209,0.22743164002895355
210,0.20511256158351898
211,0.47032415866851807
212,0.8794204592704773
213,0.9478940963745117
214,0.936593234539032
215,0.009729789569973946
216,0.0847642719745636
217,0.12422655522823334
218,0.23889237642288208
219,0.4891030788421631
220,0.8478065133094788
221,0.9261394143104553
222,0.09527918696403503
223,3.671618833323009e-05
224,0.08381829410791397
225,0.118466317653656
226,0.07650332897901535
227,0.41296079754829407
228,0.051714297384023666
229,0.0037052633706480265
